# ABC Life LifePRO Export | Generated: 2024-12-31 | Records: 1000
POL_NUM|INSURER_CD|CLNT_DOB|CLNT_GENDER|SMOKER_IND|PROD_CD|POL_COMM_DT|POL_EXPIRY_DT|POL_TERM_YRS|BASIC_SA|PREM_AMT|PREM_FREQ_CD|PREM_ESCL_RT|PREM_PYMT_TERM|REINSURED|RI_RETENTION|RI_CEDED|RI_TREATY|POL_STAT_CD|VAL_FLAG
POL0000176|ABCLIFE|13/09/1980|2|N|EN01|31/12/2018|31/12/2043|25|997000|3890.24|M|0.05|25|N|997000|0||IF|Y
POL0000177|ABCLIFE|05/10/1985|1|N|WL01|31/12/2023|||418000|6978.19|A|0.05||N|418000|0||IF|Y
POL0000178|ABCLIFE|20/11/1964|1|Y|TL01|31/12/2004|31/12/2034|30|418000|191.25|M|0.0|30|N|418000|0||IF|Y
POL0000179|ABCLIFE|30/03/1962|1|N|WL01|31/12/2011|||1615000|16416.88|A|0.0||Y|1000000|615000|TRT02|PU|N
POL0000180|ABCLIFE|14/11/1989|1|N|TL01|31/12/2021|31/12/2031|10|4770000|1511.15|M|0.05|10|Y|1000000|3770000|TRT03|IF|Y
POL0000181|ABCLIFE|19/05/1987|1|N|TL01|31/12/2024|31/12/2039|15|3256000|1807.05|M|0.1|15|Y|1000000|2256000|TRT02|IF|Y
POL0000182|ABCLIFE|02/12/1974|2|N|TL01|31/12/2009|31/12/2039|30|2329000|593.9|M|0.1|30|Y|1000000|1329000|TRT01|PU|N
POL0000183|ABCLIFE|06/12/1994|1|N|EN01|31/12/2021|31/12/2041|20|2301000|131564.43|A|0.15|20|Y|2000000|301000|TRT01|IF|Y
POL0000184|ABCLIFE|18/09/1980|2|N|EN01|31/12/2012|31/12/2032|20|503000|4055.5|Q|0.1|20|N|503000|0||IF|Y
POL0000185|ABCLIFE|17/10/1987|1|N|WL01|31/12/2015|||770000|853.01|M|0.05||N|770000|0||PU|N
POL0000186|ABCLIFE|10/04/1979|2|N|TL01|31/12/2005|31/12/2025|20|1284000|808.92|M|0.05|20|Y|1000000|284000|TRT03|IF|Y
POL0000187|ABCLIFE|22/02/1989|2|N|TL01|31/12/2018|31/12/2028|10|2429000|2253.34|Q|0.05|10|Y|1000000|1429000|TRT02|IF|Y
POL0000188|ABCLIFE|24/02/1987|2|N|TL01|31/12/2018|31/12/2048|30|4437000|1053.73|M|0.0|30|Y|1000000|3437000|TRT03|IF|Y
POL0000189|ABCLIFE|23/02/1978|1|N|TL01|31/12/2012|31/12/2027|15|1470000|696.57|M|0.05|15|Y|1000000|470000|TRT02|IF|Y
POL0000190|ABCLIFE|25/09/1986|1|N|TL01|31/12/2018|31/12/2028|10|1951000|904.14|M|0.0|10|Y|1000000|951000|TRT04|IF|Y
POL0000191|ABCLIFE|13/09/1980|2|N|TL01|31/12/2020|31/12/2040|20|3047000|2825.21|Q|0.1|20|Y|1000000|2047000|TRT04|IF|Y
POL0000192|ABCLIFE|21/10/1968|1|N|TL01|31/12/2008|31/12/2038|30|1748000|3666.23|A|0.05|30|Y|1000000|748000|TRT01|IF|Y
POL0000193|ABCLIFE|27/03/1974|1|Y|EN01|31/12/2012|31/12/2027|15|1537000|5470.39|M|0.15|15|N|1537000|0||IF|Y
POL0000194|ABCLIFE|28/02/1994|1|N|TL01|31/12/2017|31/12/2027|10|4292000|1854.27|M|0.15|10|Y|1000000|3292000|TRT02|IF|Y
POL0000195|ABCLIFE|14/06/1982|1|N|TL01|31/12/2014|31/12/2034|20|3407000|1172.95|M|0.05|20|Y|1000000|2407000|TRT01|IF|Y
POL0000196|ABCLIFE|26/11/1978|2|N|TL01|31/12/2020|31/12/2030|10|1779000|736.45|M|0.0|10|Y|1000000|779000|TRT04|IF|Y
POL0000197|ABCLIFE|30/09/1997|2|N|TL01|31/12/2018|31/12/2028|10|3597000|14565.08|A|0.0|10|Y|1000000|2597000|TRT03|IF|Y
POL0000198|ABCLIFE|10/06/1983|2|Y|TL01|31/12/2024|31/12/2049|25|294000|84.32|M|0.05|25|N|294000|0||IF|Y
POL0000199|ABCLIFE|03/07/2001|1|N|TL01|31/12/2019|31/12/2034|15|1707000|306.01|M|0.05|15|Y|1000000|707000|TRT02|IF|Y
POL0000200|ABCLIFE|30/09/1979|1|N|WL01|31/12/2021|||1541000|36109.59|A|0.05||Y|1000000|541000|TRT04|IF|Y
POL0000201|ABCLIFE|31/05/1967|2|Y|TL01|31/12/2017|31/12/2037|20|557000|102.35|M|0.1|20|N|557000|0||IF|Y
POL0000202|ABCLIFE|12/04/1971|1|N|EN01|31/12/2011|31/12/2036|25|175000|553.53|M|0.05|25|N|175000|0||IF|Y
POL0000203|ABCLIFE|02/01/1973|2|N|TL01|31/12/2014|31/12/2039|25|2147000|897.46|M|0.0|25|Y|1000000|1147000|TRT03|IF|Y
POL0000204|ABCLIFE|05/03/1959|2|N|TL01|31/12/2017|31/12/2027|10|4841000|13809.55|A|0.05|10|Y|1000000|3841000|TRT04|IF|Y
POL0000205|ABCLIFE|11/10/1957|1|N|WL01|31/12/2012|||1150000|3128.78|Q|0.05||Y|1000000|150000|TRT03|IF|Y
POL0000206|ABCLIFE|29/06/1987|2|Y|TL01|31/12/2014|31/12/2034|20|4484000|1472.1|M|0.05|20|Y|1000000|3484000|TRT02|IF|Y
POL0000207|ABCLIFE|23/12/1975|2|N|TL01|31/12/2024|31/12/2034|10|2464000|6225.43|A|0.0|10|Y|1000000|1464000|TRT02|PU|N
POL0000208|ABCLIFE|12/07/1995|1|N|TL01|31/12/2022|31/12/2037|15|4502000|2337.9|M|0.0|15|Y|1000000|3502000|TRT01|IF|Y
POL0000209|ABCLIFE|23/12/2002|1|N|WL01|31/12/2024|||1759000|2169.79|M|0.05||Y|1000000|759000|TRT02|IF|Y
POL0000210|ABCLIFE|30/11/1981|1|N|TL01|31/12/2020|31/12/2030|10|1383000|498.91|M|0.05|10|Y|1000000|383000|TRT01|IF|Y
POL0000211|ABCLIFE|29/04/1981|2|N|TL01|31/12/2015|31/12/2025|10|3989000|1520.67|M|0.1|10|Y|1000000|2989000|TRT04|LA|N
POL0000212|ABCLIFE|15/01/1986|2|Y|TL01|31/12/2023|31/12/2033|10|3645000|21045.09|A|0.1|10|Y|1000000|2645000|TRT03|IF|Y
POL0000213|ABCLIFE|03/12/1981|1|N|EN01|31/12/2024|31/12/2034|10|1963000|5830.62|M|0.05|10|N|1963000|0||IF|Y
POL0000214|ABCLIFE|09/08/1986|2|N|TL01|31/12/2015|31/12/2045|30|1532000|9573.63|A|0.1|30|Y|1000000|532000|TRT03|IF|Y
POL0000215|ABCLIFE|09/07/1961|1|Y|WL01|31/12/2009|||1900000|8110.44|Q|0.05||Y|1000000|900000|TRT01|IF|Y
POL0000216|ABCLIFE|09/07/1975|1|N|WL01|31/12/2017|||1990000|2615.23|M|0.0||Y|1000000|990000|TRT02|IF|Y
POL0000217|ABCLIFE|29/09/1967|1|N|WL01|31/12/2008|||181000|169.0|M|0.05||N|181000|0||LA|N
POL0000218|ABCLIFE|16/06/1973|2|N|TL01|31/12/2021|31/12/2031|10|1946000|5510.07|A|0.05|10|Y|1000000|946000|TRT04|IF|Y
POL0000219|ABCLIFE|31/12/1966|1|Y|WL01|31/12/2014|||1469000|2553.14|M|0.0||Y|1000000|469000|TRT02|PU|N
POL0000220|ABCLIFE|26/11/1995|1|Y|TL01|31/12/2024|31/12/2049|25|2787000|1573.06|M|0.05|25|Y|1000000|1787000|TRT01|IF|Y
POL0000221|ABCLIFE|22/04/1969|2|Y|TL01|31/12/2018|31/12/2028|10|3360000|1002.37|M|0.05|10|Y|1000000|2360000|TRT04|IF|Y
POL0000222|ABCLIFE|19/06/1983|1|N|TL01|31/12/2020|31/12/2050|30|835000|4686.62|A|0.0|30|N|835000|0||IF|Y
POL0000223|ABCLIFE|21/09/1991|1|Y|TL01|31/12/2024|31/12/2039|15|3835000|8702.7|A|0.1|15|Y|1000000|2835000|TRT02|IF|Y
POL0000224|ABCLIFE|20/03/1979|1|N|TL01|31/12/2007|31/12/2032|25|1362000|311.39|M|0.05|25|Y|1000000|362000|TRT03|IF|Y
POL0000225|ABCLIFE|18/11/1981|2|N|EN01|31/12/2020|31/12/2045|25|927000|4477.28|M|0.1|25|N|927000|0||LA|N
POL0000226|ABCLIFE|24/01/1958|1|Y|WL01|31/12/2005|||1079000|2155.48|M|0.0||Y|1000000|79000|TRT04|IF|Y
POL0000227|ABCLIFE|27/12/1986|2|Y|EN01|31/12/2017|31/12/2027|10|1913000|26230.07|Q|0.1|10|N|1913000|0||IF|Y
POL0000228|ABCLIFE|18/10/1977|2|N|WL01|31/12/2021|||902000|5629.61|Q|0.0||N|902000|0||IF|Y
POL0000229|ABCLIFE|11/02/1982|2|Y|TL01|31/12/2017|31/12/2047|30|2967000|1562.94|M|0.1|30|Y|1000000|1967000|TRT03|IF|Y
POL0000230|ABCLIFE|05/01/1966|2|Y|WL01|31/12/2005|||1078000|21760.26|A|0.0||Y|1000000|78000|TRT01|IF|Y
POL0000231|ABCLIFE|31/03/1993|2|N|EN01|31/12/2024|31/12/2044|20|1366000|70621.67|A|0.05|20|N|1366000|0||IF|Y
POL0000232|ABCLIFE|04/02/1993|1|N|TL01|31/12/2024|31/12/2039|15|1251000|420.11|M|0.1|15|Y|1000000|251000|TRT03|IF|Y
POL0000233|ABCLIFE|16/08/1992|1|N|EN01|31/12/2021|31/12/2031|10|200000|11302.0|A|0.05|10|N|200000|0||IF|Y
POL0000234|ABCLIFE|15/02/1988|1|Y|EN01|31/12/2020|31/12/2035|15|2854000|109353.7|A|0.0|15|Y|2000000|854000|TRT01|PU|N
POL0000235|ABCLIFE|23/05/1984|1|N|WL01|31/12/2004|||239000|449.11|M|0.0||N|239000|0||IF|Y
POL0000236|ABCLIFE|09/02/1966|1|N|TL01|31/12/2008|31/12/2028|20|3168000|9206.08|A|0.15|20|Y|1000000|2168000|TRT02|PU|N
POL0000237|ABCLIFE|05/01/1979|2|N|WL01|31/12/2013|||1918000|3471.9|M|0.05||Y|1000000|918000|TRT03|IF|Y
POL0000238|ABCLIFE|17/10/1977|1|N|WL01|31/12/2014|||1941000|2393.09|M|0.05||Y|1000000|941000|TRT01|IF|Y
POL0000239|ABCLIFE|02/10/1964|1|N|EN01|31/12/2006|31/12/2026|20|824000|2123.85|M|0.1|20|N|824000|0||IF|Y
POL0000240|ABCLIFE|26/07/1972|2|N|WL01|31/12/2004|||245000|509.06|M|0.0||N|245000|0||IF|Y
POL0000241|ABCLIFE|12/07/1987|1|N|EN01|31/12/2023|31/12/2048|25|411000|12650.79|A|0.1|25|N|411000|0||IF|Y
POL0000242|ABCLIFE|30/05/1974|1|N|TL01|31/12/2006|31/12/2036|30|2310000|1271.65|M|0.1|30|Y|1000000|1310000|TRT04|IF|Y
POL0000243|ABCLIFE|24/05/1969|1|N|EN01|31/12/2011|31/12/2026|15|2854000|11896.88|M|0.05|15|Y|2000000|854000|TRT01|IF|Y
POL0000244|ABCLIFE|09/02/2003|1|N|WL01|31/12/2024|||1779000|30941.38|A|0.1||Y|1000000|779000|TRT01|IF|Y
POL0000245|ABCLIFE|21/05/1974|2|N|TL01|31/12/2014|31/12/2029|15|4802000|3037.64|M|0.05|15|Y|1000000|3802000|TRT04|IF|Y
POL0000246|ABCLIFE|13/10/1978|1|N|TL01|31/12/2021|31/12/2041|20|4450000|1900.84|M|0.05|20|Y|1000000|3450000|TRT02|IF|Y
POL0000247|ABCLIFE|17/06/1971|1|N|EN01|31/12/2007|31/12/2032|25|2596000|12211.7|M|0.1|25|Y|2000000|596000|TRT03|IF|Y
POL0000248|ABCLIFE|17/02/1978|2|N|EN01|31/12/2021|31/12/2036|15|1386000|57980.23|A|0.05|15|N|1386000|0||IF|Y
POL0000249|ABCLIFE|11/12/1966|1|N|EN01|31/12/2014|31/12/2034|20|1500000|85282.39|A|0.0|20|N|1500000|0||IF|Y
POL0000250|ABCLIFE|27/04/1989|1|N|WL01|31/12/2009|||1185000|1686.86|M|0.1||Y|1000000|185000|TRT03|IF|Y
POL0000251|ABCLIFE|28/09/1976|1|N|EN01|31/12/2012|31/12/2037|25|2231000|9322.25|M|0.05|25|Y|2000000|231000|TRT02|IF|Y
POL0000252|ABCLIFE|07/01/1975|2|N|EN01|31/12/2018|31/12/2033|15|2468000|8596.67|M|0.1|15|Y|2000000|468000|TRT01|IF|Y
POL0000253|ABCLIFE|14/02/1987|2|N|EN01|31/12/2022|31/12/2037|15|728000|2989.9|M|0.15|15|N|728000|0||IF|Y
POL0000254|ABCLIFE|20/11/1986|2|N|TL01|31/12/2023|31/12/2043|20|159000|67.23|M|0.1|20|N|159000|0||IF|Y
POL0000255|ABCLIFE|12/10/1984|2|N|TL01|31/12/2023|31/12/2053|30|2028000|4088.94|A|0.05|30|Y|1000000|1028000|TRT03|IF|Y
POL0000256|ABCLIFE|27/07/1972|1|N|TL01|31/12/2024|31/12/2039|15|2919000|1718.91|M|0.0|15|Y|1000000|1919000|TRT02|IF|Y
POL0000257|ABCLIFE|10/12/1975|1|N|TL01|31/12/2010|31/12/2035|25|1204000|2114.31|Q|0.0|25|Y|1000000|204000|TRT04|PU|N
POL0000258|ABCLIFE|13/02/1966|2|N|WL01|31/12/2006|||1842000|2262.05|M|0.0||Y|1000000|842000|TRT04|PU|N
POL0000259|ABCLIFE|22/03/1974|2|N|WL01|31/12/2013|||1609000|17269.61|A|0.1||Y|1000000|609000|TRT03|IF|Y
POL0000260|ABCLIFE|16/01/1978|1|Y|TL01|31/12/2005|31/12/2025|20|3225000|886.82|M|0.1|20|Y|1000000|2225000|TRT03|IF|Y
POL0000261|ABCLIFE|20/03/1980|2|Y|TL01|31/12/2006|31/12/2036|30|4943000|27077.7|A|0.1|30|Y|1000000|3943000|TRT04|IF|Y
POL0000262|ABCLIFE|29/01/1963|1|Y|EN01|31/12/2005|31/12/2030|25|401000|1332.1|M|0.1|25|N|401000|0||IF|Y
POL0000263|ABCLIFE|28/03/1967|2|N|TL01|31/12/2007|31/12/2027|20|2838000|1319.75|M|0.05|20|Y|1000000|1838000|TRT01|PU|N
POL0000264|ABCLIFE|18/11/1994|1|N|WL01|31/12/2017|||1491000|1652.51|M|0.1||Y|1000000|491000|TRT04|IF|Y
POL0000265|ABCLIFE|22/02/1980|2|N|TL01|31/12/2014|31/12/2034|20|3284000|1157.68|M|0.0|20|Y|1000000|2284000|TRT03|IF|Y
POL0000266|ABCLIFE|30/10/1966|1|N|TL01|31/12/2013|31/12/2033|20|415000|441.85|Q|0.05|20|N|415000|0||IF|Y
POL0000267|ABCLIFE|26/06/1974|2|N|TL01|31/12/2006|31/12/2036|30|3764000|1407.29|M|0.05|30|Y|1000000|2764000|TRT02|IF|Y
POL0000268|ABCLIFE|22/04/1983|1|N|TL01|31/12/2011|31/12/2026|15|277000|109.56|M|0.0|15|N|277000|0||IF|Y
POL0000269|ABCLIFE|28/08/1974|1|N|TL01|31/12/2007|31/12/2037|30|105000|22.41|M|0.05|30|N|105000|0||IF|Y
POL0000270|ABCLIFE|26/07/1980|1|N|TL01|31/12/2008|31/12/2033|25|818000|4667.48|A|0.1|25|N|818000|0||LA|N
POL0000271|ABCLIFE|24/04/1980|1|N|EN01|31/12/2021|31/12/2031|10|1183000|40786.09|A|0.15|10|N|1183000|0||IF|Y
POL0000272|ABCLIFE|04/07/1992|1|N|EN01|31/12/2024|31/12/2044|20|490000|2050.05|M|0.05|20|N|490000|0||IF|Y
POL0000273|ABCLIFE|21/09/1967|1|N|EN01|31/12/2019|31/12/2039|20|72000|301.35|M|0.0|20|N|72000|0||IF|Y
POL0000274|ABCLIFE|19/10/1985|1|N|WL01|31/12/2011|||455000|880.75|M|0.1||N|455000|0||IF|Y
POL0000275|ABCLIFE|02/06/2005|1|Y|TL01|31/12/2022|31/12/2052|30|4093000|1262.56|M|0.05|30|Y|1000000|3093000|TRT01|IF|Y
POL0000276|ABCLIFE|25/05/1983|2|Y|EN01|31/12/2024|31/12/2034|10|2744000|9167.57|M|0.0|10|Y|2000000|744000|TRT01|IF|Y
POL0000277|ABCLIFE|13/05/1989|2|N|EN01|31/12/2015|31/12/2035|20|809000|2670.62|M|0.05|20|N|809000|0||IF|Y
POL0000278|ABCLIFE|19/05/1970|2|Y|TL01|31/12/2017|31/12/2037|20|2578000|15270.61|A|0.1|20|Y|1000000|1578000|TRT01|IF|Y
POL0000279|ABCLIFE|28/12/1954|1|N|TL01|31/12/2008|31/12/2033|25|1282000|565.5|M|0.0|25|Y|1000000|282000|TRT04|IF|Y
POL0000280|ABCLIFE|18/02/1994|1|N|TL01|31/12/2018|31/12/2048|30|3310000|2172.31|M|0.0|30|Y|1000000|2310000|TRT02|IF|Y
POL0000281|ABCLIFE|17/01/1991|1|N|WL01|31/12/2021|||266000|471.32|M|0.05||N|266000|0||PU|N
POL0000282|ABCLIFE|16/12/1972|1|N|WL01|31/12/2020|||229000|258.01|M|0.05||N|229000|0||IF|Y
POL0000283|ABCLIFE|13/06/1977|1|Y|WL01|31/12/2015|||1726000|2253.84|M|0.1||Y|1000000|726000|TRT01|IF|Y
POL0000284|ABCLIFE|16/02/1958|2|N|TL01|31/12/2013|31/12/2043|30|1003000|357.6|M|0.15|30|Y|1000000|3000|TRT01|IF|Y
POL0000285|ABCLIFE|30/12/1986|2|N|WL01|31/12/2022|||1841000|3574.36|M|0.0||Y|1000000|841000|TRT03|IF|Y
POL0000286|ABCLIFE|23/09/1971|2|Y|TL01|31/12/2023|31/12/2048|25|1423000|551.58|M|0.05|25|Y|1000000|423000|TRT01|PU|N
POL0000287|ABCLIFE|07/04/1966|1|N|TL01|31/12/2010|31/12/2030|20|180000|1241.02|A|0.1|20|N|180000|0||PU|N
POL0000288|ABCLIFE|13/10/1980|2|N|TL01|31/12/2015|31/12/2030|15|658000|366.59|M|0.1|15|N|658000|0||IF|Y
POL0000289|ABCLIFE|21/03/2001|1|N|TL01|31/12/2019|31/12/2034|15|4826000|918.89|M|0.0|15|Y|1000000|3826000|TRT01|IF|Y
POL0000290|ABCLIFE|23/04/1978|1|N|EN01|31/12/2017|31/12/2027|10|1941000|6460.98|M|0.1|10|N|1941000|0||IF|Y
POL0000291|ABCLIFE|18/10/1982|1|N|TL01|31/12/2019|31/12/2029|10|3199000|1610.16|M|0.05|10|Y|1000000|2199000|TRT02|IF|Y
POL0000292|ABCLIFE|22/03/1960|1|N|TL01|31/12/2005|31/12/2030|25|2755000|1408.12|M|0.15|25|Y|1000000|1755000|TRT01|IF|Y
POL0000293|ABCLIFE|22/05/1967|1|N|TL01|31/12/2005|31/12/2025|20|378000|402.5|Q|0.05|20|N|378000|0||IF|Y
POL0000294|ABCLIFE|16/02/1987|2|N|TL01|31/12/2009|31/12/2039|30|3587000|11129.57|A|0.0|30|Y|1000000|2587000|TRT04|IF|Y
POL0000295|ABCLIFE|07/01/1990|1|Y|TL01|31/12/2022|31/12/2032|10|4589000|3018.56|M|0.15|10|Y|1000000|3589000|TRT01|IF|Y
POL0000296|ABCLIFE|10/02/1967|1|Y|WL01|31/12/2020|||1228000|24657.96|A|0.1||Y|1000000|228000|TRT03|LA|N
POL0000297|ABCLIFE|15/03/1979|2|N|TL01|31/12/2015|31/12/2025|10|4691000|1934.68|M|0.0|10|Y|1000000|3691000|TRT03|IF|Y
POL0000298|ABCLIFE|10/07/1966|2|Y|WL01|31/12/2010|||430000|655.8|M|0.1||N|430000|0||IF|Y
POL0000299|ABCLIFE|21/10/1970|1|Y|WL01|31/12/2013|||1535000|36456.56|A|0.1||Y|1000000|535000|TRT01|PU|N
POL0000300|ABCLIFE|12/09/1968|1|Y|TL01|31/12/2017|31/12/2027|10|3536000|4898.49|Q|0.0|10|Y|1000000|2536000|TRT03|IF|Y
POL0000301|ABCLIFE|01/01/1975|1|N|TL01|31/12/2019|31/12/2029|10|3824000|903.11|M|0.1|10|Y|1000000|2824000|TRT02|IF|Y
POL0000302|ABCLIFE|11/03/1979|1|Y|TL01|31/12/2013|31/12/2038|25|590000|137.43|M|0.15|25|N|590000|0||IF|Y
POL0000303|ABCLIFE|10/05/1991|2|N|TL01|31/12/2022|31/12/2047|25|663000|225.05|M|0.1|25|N|663000|0||PU|N
POL0000304|ABCLIFE|17/06/1969|2|N|EN01|31/12/2011|31/12/2026|15|160000|5286.89|A|0.05|15|N|160000|0||IF|Y
POL0000305|ABCLIFE|08/03/1980|2|Y|TL01|31/12/2013|31/12/2043|30|1218000|667.92|M|0.15|30|Y|1000000|218000|TRT02|IF|Y
POL0000306|ABCLIFE|23/04/1979|2|N|WL01|31/12/2012|||1649000|2473.55|M|0.05||Y|1000000|649000|TRT02|IF|Y
POL0000307|ABCLIFE|13/07/1986|1|Y|TL01|31/12/2024|31/12/2034|10|3180000|673.37|M|0.05|10|Y|1000000|2180000|TRT03|IF|Y
POL0000308|ABCLIFE|30/01/1970|1|N|TL01|31/12/2007|31/12/2027|20|2535000|456.06|M|0.15|20|Y|1000000|1535000|TRT04|IF|Y
POL0000309|ABCLIFE|22/09/1986|1|Y|WL01|31/12/2019|||1219000|2438.08|M|0.15||Y|1000000|219000|TRT04|IF|Y
POL0000310|ABCLIFE|17/12/1970|1|N|TL01|31/12/2018|31/12/2028|10|1625000|623.49|M|0.1|10|Y|1000000|625000|TRT01|IF|Y
POL0000311|ABCLIFE|04/11/1971|1|N|EN01|31/12/2008|31/12/2028|20|2835000|7273.2|M|0.05|20|Y|2000000|835000|TRT01|IF|Y
POL0000312|ABCLIFE|13/01/1975|2|N|WL01|31/12/2014|||713000|8815.55|A|0.0||N|713000|0||IF|Y
POL0000313|ABCLIFE|31/12/1981|2|N|WL01|31/12/2017|||114000|100.52|M|0.05||N|114000|0||IF|Y
POL0000314|ABCLIFE|27/04/1975|1|N|WL01|31/12/2006|||670000|1048.39|M|0.05||N|670000|0||IF|Y
POL0000315|ABCLIFE|26/08/1972|2|Y|WL01|31/12/2005|||1791000|3407.0|M|0.0||Y|1000000|791000|TRT03|IF|Y
POL0000316|ABCLIFE|14/05/1977|1|N|EN01|31/12/2022|31/12/2032|10|2606000|121713.16|A|0.05|10|Y|2000000|606000|TRT04|IF|Y
POL0000317|ABCLIFE|18/02/1973|1|Y|TL01|31/12/2019|31/12/2049|30|4873000|2616.26|M|0.15|30|Y|1000000|3873000|TRT01|IF|Y
POL0000318|ABCLIFE|02/05/1984|1|N|WL01|31/12/2023|||1819000|40359.27|A|0.05||Y|1000000|819000|TRT03|IF|Y
POL0000319|ABCLIFE|20/06/1984|2|Y|TL01|31/12/2018|31/12/2038|20|1568000|747.44|M|0.1|20|Y|1000000|568000|TRT01|IF|Y
POL0000320|ABCLIFE|11/03/1977|1|N|EN01|31/12/2016|31/12/2031|15|1610000|7560.85|M|0.15|15|N|1610000|0||IF|Y
POL0000321|ABCLIFE|08/01/1962|2|N|WL01|31/12/2010|||1146000|1416.75|M|0.0||Y|1000000|146000|TRT01|IF|Y
POL0000322|ABCLIFE|10/10/1983|1|N|TL01|31/12/2021|31/12/2031|10|3427000|3400.1|Q|0.1|10|Y|1000000|2427000|TRT02|IF|Y
POL0000323|ABCLIFE|22/11/1989|1|N|TL01|31/12/2024|31/12/2039|15|4521000|0.0|M|0.05|15|Y|1000000|3521000|TRT02|IF|Y
POL0000324|ABCLIFE|18/12/1972|2|N|WL01|31/12/2005|||655000|10865.26|A|0.05||N|655000|0||IF|Y
POL0000325|ABCLIFE|22/11/1976|1|N|WL01|31/12/2009|||1868000|2589.08|M|0.1||Y|1000000|868000|TRT02|IF|Y
POL0000326|ABCLIFE|04/08/1957|2|N|WL01|31/12/2010|||457000|716.88|M|0.0||N|457000|0||PU|N
POL0000327|ABCLIFE|11/09/1973|2|N|TL01|31/12/2011|31/12/2026|15|4286000|1936.93|M|0.0|15|Y|1000000|3286000|TRT02|IF|Y
POL0000328|ABCLIFE|25/10/1967|1|N|WL01|31/12/2008|||592000|12200.53|A|0.15||N|592000|0||LA|N
POL0000329|ABCLIFE|28/04/1975|2|Y|WL01|31/12/2006|||1542000|2958.53|M|0.0||Y|1000000|542000|TRT04|IF|Y
POL0000330|ABCLIFE|25/01/1960|1|N|TL01|31/12/2005|31/12/2025|20|339000|136.75|M|0.0|20|N|339000|0||IF|Y
POL0000331|ABCLIFE|30/07/1995|2|Y|TL01|31/12/2024|31/12/2039|15|2766000|9270.21|A|0.05|15|Y|1000000|1766000|TRT04|IF|Y
POL0000332|ABCLIFE|02/11/1956|1|N|EN01|31/12/2006|31/12/2026|20|1065000|3441.2|M|0.1|20|N|1065000|0||IF|Y
POL0000333|ABCLIFE|17/04/1978|1|N|WL01|31/12/2015|||1814000|3718.73|M|0.1||Y|1000000|814000|TRT03|PU|N
POL0000334|ABCLIFE|18/02/1984|1|N|EN01|31/12/2018|31/12/2028|10|1365000|4733.2|M|0.1|10|N|1365000|0||IF|Y
POL0000335|ABCLIFE|25/04/1990|2|N|TL01|31/12/2024|31/12/2039|15|3640000|24767.57|A|0.05|15|Y|1000000|2640000|TRT02|IF|Y
POL0000336|ABCLIFE|26/03/1986|1|N|EN01|31/12/2010|31/12/2025|15|181000|10151.15|A|0.1|15|N|181000|0||LA|N
POL0000337|ABCLIFE|04/12/1968|1|N|TL01|31/12/2011|31/12/2031|20|120000|34.79|M|0.0|20|N|120000|0||IF|Y
POL0000338|ABCLIFE|17/03/1955|2|N|TL01|31/12/2006|31/12/2036|30|3503000|863.62|M|0.05|30|Y|1000000|2503000|TRT01|LA|N
POL0000339|ABCLIFE|01/09/1970|2|N|TL01|31/12/2011|31/12/2026|15|4437000|2165.4|M|0.0|15|Y|1000000|3437000|TRT03|IF|Y
POL0000340|ABCLIFE|15/11/1972|2|Y|TL01|31/12/2019|31/12/2039|20|1162000|6049.69|A|0.05|20|Y|1000000|162000|TRT03|IF|Y
POL0000341|ABCLIFE|02/09/1987|2|N|TL01|31/12/2023|31/12/2033|10|1311000|4960.79|A|0.05|10|Y|1000000|311000|TRT04|IF|Y
POL0000342|ABCLIFE|07/02/1980|1|N|TL01|31/12/2016|31/12/2031|15|381000|236.54|M|0.1|15|N|381000|0||IF|Y
POL0000343|ABCLIFE|05/10/1986|1|Y|TL01|31/12/2023|31/12/2033|10|1864000|586.78|M|0.05|10|Y|1000000|864000|TRT03|IF|Y
POL0000344|ABCLIFE|05/11/1988|2|N|TL01|31/12/2022|31/12/2032|10|938000|384.76|M|0.0|10|N|938000|0||IF|Y
POL0000345|ABCLIFE|05/07/1975|2|N|EN01|31/12/2020|31/12/2040|20|1821000|7022.43|M|0.1|20|N|1821000|0||IF|Y
POL0000346|ABCLIFE|02/08/1980|1|N|TL01|31/12/2019|31/12/2029|10|2913000|574.1|M|0.0|10|Y|1000000|1913000|TRT01|IF|Y
POL0000347|ABCLIFE|28/09/1975|2|N|TL01|31/12/2012|31/12/2042|30|3796000|26549.98|A|0.1|30|Y|1000000|2796000|TRT04|IF|Y
POL0000348|ABCLIFE|03/08/1990|2|N|TL01|31/12/2016|31/12/2026|10|4117000|7998.63|Q|0.05|10|Y|1000000|3117000|TRT02|IF|Y
POL0000349|ABCLIFE|21/10/1974|2|N|EN01|31/12/2024|31/12/2049|25|2926000|12616.45|M|0.1|25|Y|2000000|926000|TRT01|IF|Y
POL0000350|ABCLIFE|23/02/1965|2|N|TL01|31/12/2019|31/12/2029|10|1326000|5114.95|A|0.05|10|Y|1000000|326000|TRT03|IF|Y
POL0000351|ABCLIFE|10/10/1987|2|N|TL01|31/12/2009|31/12/2029|20|1463000|4375.06|A|0.15|20|Y|1000000|463000|TRT02|IF|Y
POL0000352|ABCLIFE|22/03/1980|1|N|TL01|31/12/2017|31/12/2032|15|3344000|2128.8|M|0.15|15|Y|1000000|2344000|TRT02|IF|Y
